scheduler,round_index,n_cap,num_steps,evidence_ratio
CosineAnnealScheduler,0,1.0,50,
CosineAnnealScheduler,1,0.9698463103929542,48,
CosineAnnealScheduler,2,0.883022221559489,44,
CosineAnnealScheduler,3,0.75,38,
CosineAnnealScheduler,4,0.5868240888334653,29,
CosineAnnealScheduler,5,0.41317591116653485,21,
CosineAnnealScheduler,6,0.2500000000000001,13,
CosineAnnealScheduler,7,0.11697777844051105,6,
CosineAnnealScheduler,8,0.03015368960704584,2,
CosineAnnealScheduler,9,0.0,1,
CodimensionSheetScheduler,0,1.0,50,1.0
CodimensionSheetScheduler,1,0.999998,50,0.999998
CodimensionSheetScheduler,2,0.999961,50,0.999961
CodimensionSheetScheduler,3,0.999792,40,0.999792
CodimensionSheetScheduler,4,0.999273,50,0.999273
CodimensionSheetScheduler,5,0.997921,50,0.997921
CodimensionSheetScheduler,6,0.994406,50,0.994406
CodimensionSheetScheduler,7,0.983609,49,0.983609
CodimensionSheetScheduler,8,0.955082,48,0.955082
CodimensionSheetScheduler,9,0.952381,48,0.952381
EvidenceDrivenScheduler,0,1.0,50,
EvidenceDrivenScheduler,1,0.9698463103929542,48,
EvidenceDrivenScheduler,2,0.8830228075046899,44,
EvidenceDrivenScheduler,3,0.75,38,
EvidenceDrivenScheduler,4,0.5868240888334653,29,
EvidenceDrivenScheduler,5,0.41317591116653485,21,
EvidenceDrivenScheduler,6,0.2500000000000001,13,
EvidenceDrivenScheduler,7,0.11697777844051105,6,
EvidenceDrivenScheduler,8,0.03015368960704584,2,
EvidenceDrivenScheduler,9,0.012481395815540825,1,
FreeTrajScheduler,0,1.0,50,
FreeTrajScheduler,1,1.0,50,
FreeTrajScheduler,2,0.883022221559489,44,
FreeTrajScheduler,3,0.7,35,
FreeTrajScheduler,4,0.5868240888334653,29,
FreeTrajScheduler,5,0.46317591116653484,23,
FreeTrajScheduler,6,0.2500000000000001,13,
FreeTrajScheduler,7,0.06697777844051105,3,
FreeTrajScheduler,8,0.03015368960704584,2,
FreeTrajScheduler,9,0.05,2,
