round_index,n_cap,num_steps,eps_implicit,sheet_evidence,cell_evidence,selection_ratio,n_endpoints,mode
0,1.0,10,,0.8940412504164219,0.1404537443096252,0.8642296530909559,200,baseline
0,1.0,10,0.05,0.8940412504164219,0.007022687215481261,0.9922062276358128,200,baseline_c4
0,1.0,10,0.05,0.8940412504164219,0.007022687215481261,0.9922062276358128,200,evidence_driven
1,0.9876650826118292,10,0.052757784544766,0.8935183760528013,0.00741002838079286,0.9917751195940464,200,evidence_driven
2,0.9673677080472949,10,0.05277045640151122,0.8933334857761404,0.007411808190520081,0.9917714716466846,200,evidence_driven
3,0.9333175228716035,9,0.05320967636582051,0.8943385426680049,0.007473498279082861,0.9917127982997054,200,evidence_driven
4,0.8874118495106615,9,0.05357920259376768,0.8945034030105583,0.007525399621418653,0.9916572512990043,200,evidence_driven
5,0.8307648489772352,8,0.05393796841781766,0.8930259783236343,0.007575789624736801,0.9915880804431519,200,evidence_driven
6,0.7649424437157069,8,0.054265817672753305,0.8941114126494841,0.007621837280161634,0.9915475698819398,200,evidence_driven
7,0.6916233131624325,7,0.054612199582026136,0.8935587429948479,0.00767048791628012,0.9914888602664104,200,evidence_driven
8,0.612891333504201,6,0.05492570503309928,0.8924866637109595,0.0077145209307448205,0.991430225751352,200,evidence_driven
9,0.5308404188244085,5,0.05522462695587889,0.8965389943588429,0.007756505634055449,0.991422598438103,200,evidence_driven
10,0.4475650287595226,4,0.055572649252155645,0.8961600864401492,0.007805386668670753,0.9913653929260957,200,evidence_driven
11,0.36554367248625586,4,0.0558567919716723,0.8970377504600151,0.007845295577545187,0.9913300446815758,200,evidence_driven
12,0.28684437787842265,3,0.05615395489754636,0.8956150209506147,0.007887033223154203,0.991270597353133,200,evidence_driven
13,0.21370160712401293,2,0.056412156907386865,0.895038921128651,0.007923298662224573,0.9912252157525931,200,evidence_driven
14,0.14801305569713907,2,0.05667307924499525,0.8931370093637373,0.00795994618151569,0.9911663821162294,200,evidence_driven
15,0.0916180630264255,2,0.05690584113768889,0.8929819942367817,0.007992638460877107,0.991128897339822,200,evidence_driven
16,0.04596196300428157,2,0.05715058069623698,0.8938525213317848,0.008027013048255871,0.9910996837800807,200,evidence_driven
17,0.012298802986650925,2,0.05739628808151588,0.8934678299923563,0.008061523570522821,0.9910579466562421,200,evidence_driven
18,0.0,2,0.057619037621737826,0.8967959249334023,0.008092809577490239,0.9910565694224666,200,evidence_driven
19,0.0,2,0.05788180274357889,0.8952659085866717,0.008129715922726792,0.9910009350254029,200,evidence_driven
