model,nfe,arm,mean_plddt,std_plddt,ci95_plddt_low,ci95_plddt_high,mean_scperp,std_scperp,paired_t_plddt,paired_p_plddt,paired_t_scperp,paired_p_scperp,framework_wins_both,n_seeds
lineageflow,50,baseline,41.1381,0.3395,40.2947,41.9816,18.1174,0.728,2.5498,0.1255,-15.0784,0.0044,True,3
lineageflow,50,framework,43.8423,1.5629,39.9599,47.7246,13.8155,0.9728,2.5498,0.1255,-15.0784,0.0044,True,3
lineageflow,100,baseline,41.1381,0.3395,40.2947,41.9816,18.1174,0.728,1.992,0.1846,-20.9411,0.0023,True,3
lineageflow,100,framework,43.8284,2.0821,38.6561,49.0006,13.9297,0.8857,1.992,0.1846,-20.9411,0.0023,True,3
lineageflow,200,baseline,41.1381,0.3395,40.2947,41.9816,18.1174,0.728,1.8681,0.2027,-21.1964,0.0022,True,3
lineageflow,200,framework,43.6292,2.0314,38.583,48.6754,14.1092,0.8573,1.8681,0.2027,-21.1964,0.0022,True,3
kanzi,50,baseline,54.7971,2.4648,48.6743,60.92,19.5428,0.6865,0.4518,0.6957,-6.941,0.0201,True,3
kanzi,50,framework,55.4769,0.4651,54.3214,56.6324,15.189,0.4974,0.4518,0.6957,-6.941,0.0201,True,3
kanzi,100,baseline,54.7971,2.4648,48.6743,60.92,19.5428,0.6865,-2.0893,0.1719,-6.345,0.024,False,3
kanzi,100,framework,51.6625,0.2425,51.0601,52.2648,15.9545,0.4812,-2.0893,0.1719,-6.345,0.024,False,3
kanzi,200,baseline,54.7971,2.4648,48.6743,60.92,19.5428,0.6865,1.3117,0.32,-7.672,0.0166,True,3
kanzi,200,framework,57.1395,0.8813,54.9503,59.3288,15.8884,0.1701,1.3117,0.32,-7.672,0.0166,True,3
