model,nfe,arm,plddt,scperp,delta_plddt,delta_scperp
kanzi,10,baseline,57.411620231409856,19.49671910423598,0.0,0.0
kanzi,10,framework,54.22973517101598,15.194663187954385,-3.181885060393874,-4.302055916281594
kanzi,25,baseline,57.411620231409856,19.49671916621189,0.0,0.0
kanzi,25,framework,52.85844143344072,16.30836306116302,-4.553178797969139,-3.188356105048868
kanzi,50,baseline,57.411620231409856,19.496719715033706,0.0,0.0
kanzi,50,framework,55.162560659117766,15.634180076898458,-2.24905957229209,-3.8625396381352477
kanzi,75,baseline,57.411620231409856,19.4967185609676,0.0,0.0
kanzi,75,framework,59.534831248829256,14.737892678928356,2.1232110174194005,-4.758825882039245
kanzi,100,baseline,57.411620231409856,19.4967200924951,0.0,0.0
kanzi,100,framework,51.623926527709806,16.478193382357606,-5.78769370370005,-3.0185267101374933
kanzi,150,baseline,57.411620231409856,19.49672053194797,0.0,0.0
kanzi,150,framework,53.59034294289318,16.65034857891012,-3.8212772885166757,-2.8463719530378526
kanzi,200,baseline,57.411620231409856,19.496719700093134,0.0,0.0
kanzi,200,framework,56.86924490007918,16.02169130918332,-0.5423753313306747,-3.475028390909813
kanzi,300,baseline,57.411620231409856,19.49671940045123,0.0,0.0
kanzi,300,framework,54.46706483635471,16.918126306382792,-2.944555395055147,-2.578593094068438
kanzi,500,baseline,57.411620231409856,19.496719739503416,0.0,0.0
kanzi,500,framework,54.918355653416775,16.8066252788306,-2.493264577993081,-2.690094460672814
lineageflow,10,baseline,41.17976042485528,18.935017196036046,0.0,0.0
lineageflow,10,framework,45.558797663299714,13.870686472044463,4.3790372384444325,-5.064330723991583
lineageflow,25,baseline,41.17976042485528,18.93501797043229,0.0,0.0
lineageflow,25,framework,43.80813211768147,14.94204839250604,2.6283716928261853,-3.9929695779262513
lineageflow,50,baseline,41.17976042485528,18.93501965772772,0.0,0.0
lineageflow,50,framework,42.5481833666271,14.89470611627108,1.3684229417718186,-4.0403135414566425
lineageflow,75,baseline,41.17976042485528,18.93501752522325,0.0,0.0
lineageflow,75,framework,41.990779322469706,14.940597789474497,0.8110188976144244,-3.994419735748755
lineageflow,100,baseline,41.17976042485528,18.935019026366305,0.0,0.0
lineageflow,100,framework,41.990779322469706,14.940598656709255,0.8110188976144244,-3.9944203696570497
lineageflow,150,baseline,41.17976042485528,18.93501824279565,0.0,0.0
lineageflow,150,framework,41.78986514419409,15.206531402835656,0.610104719338807,-3.7284868399599933
lineageflow,200,baseline,41.17976042485528,18.935018218636085,0.0,0.0
lineageflow,200,framework,42.008864861955104,15.088195641690966,0.8291044370998222,-3.8468225769451188
lineageflow,300,baseline,41.17976042485528,18.93501709394764,0.0,0.0
lineageflow,300,framework,42.76203621657898,14.93062850869223,1.5822757917236956,-4.004388585255409
lineageflow,500,baseline,41.17976042485528,18.935017432150666,0.0,0.0
lineageflow,500,framework,41.56914059327804,15.118379515029284,0.38938016842276113,-3.8166379171213816
