model,arm,n_rounds,plddt,scPerplexity,delta_plddt_vs_baseline,delta_scPerp_vs_baseline
lineageflow,baseline,1,41.17976042485528,18.93501824539799,0.0,0.0
lineageflow,framework,1,41.990779322469706,14.940598069737096,0.811018897614426,-3.994420175660894
lineageflow,framework,2,41.990779322469706,14.940598489471167,0.811018897614426,-3.994419755926823
lineageflow,framework,3,41.990779322469706,14.940598776897021,0.811018897614426,-3.994419468500969
lineageflow,framework,5,41.990779322469706,14.940598708950196,0.811018897614426,-3.994419536447794
lineageflow,framework,7,41.990779322469706,14.940598297315098,0.811018897614426,-3.994419948082892
kanzi,baseline,1,57.411620231409856,19.49671935793925,0.0,0.0
kanzi,framework,1,55.78225198352648,17.664733578513854,-1.6293682478833763,-1.831985779425396
kanzi,framework,2,55.24723833442995,16.72068364905429,-2.1643818969799055,-2.77603570888496
kanzi,framework,3,51.623926527709806,16.478192100342227,-5.78769370370005,-3.018527257597023
kanzi,framework,5,56.72234565016906,15.129419200382006,-0.6892745812407966,-4.367300157557244
kanzi,framework,7,54.60549852901685,16.585663221095356,-2.8061217023930056,-2.911056136843894
