model,nfe,n_baseline_records,n_framework_records,n_seeds,empirical_BL_pLDDT_mean,empirical_BL_pLDDT_95CI_low,empirical_BL_pLDDT_95CI_high,empirical_BL_2D_mean,empirical_BL_2D_95CI_low,empirical_BL_2D_95CI_high,baseline_pLDDT_per_seed,framework_pLDDT_per_seed
lineageflow,10,30,30,1,2.2326454124189485,0.6172417525401176,7.787074372534006,3.8591341955445646,2.1910602093914258,9.243633414158838,41.1798,45.5588
lineageflow,50,90,90,3,0.3821042040029443,0.14607256786230982,1.9893437962824465,1.9376433253715213,1.4760597745364725,3.5678162028602394,41.1798;41.4550;40.7797,42.5482;43.4001;45.5786
lineageflow,100,90,90,3,0.404647683371115,0.15584136952559977,2.135687851372362,1.8049673276082778,1.3690687213260762,3.4967951572429303,41.1798;41.4550;40.7797,41.9908;43.4045;46.0898
lineageflow,150,30,30,1,0.697006676495775,0.41731484244565403,4.21845735309899,1.778705646095677,1.301144528648329,5.222384781752968,41.1798,41.7899
lineageflow,200,90,90,3,0.36103696371939265,0.14622999166150022,2.0122627466289784,1.6567684001173149,1.2475020057099842,3.276646275836197,41.1798;41.4550;40.7797,42.0089;42.9707;45.9082
lineageflow,300,30,30,1,0.6492407195855154,0.38270671462254496,4.502782639788159,1.879287619183497,1.3497205294726757,5.581537634187165,41.1798,42.7620
kanzi,10,30,30,1,1.2720879999722392,0.6142067122773466,6.093537367034734,2.7461794966765787,1.9230292966649887,7.507912737658156,57.4116,54.2297
kanzi,50,90,90,3,0.08840115536693993,0.11832740455957046,1.1267989256485988,1.5923204737208838,1.17638394147464,2.8791903830130647,57.4116;54.4638;52.5160,55.1626;56.0112;55.2569
kanzi,100,90,90,3,0.5212756244084158,0.1455424278982157,2.2474775293275466,1.6604741658590552,1.078717810822362,3.463393884069455,57.4116;54.4638;52.5160,51.6239;51.4416;51.9219
kanzi,150,30,30,1,0.9332939388639883,0.5007454240068798,4.976393598611184,1.6790100656503508,1.15059347263754,5.951746926005008,57.4116,53.5903
kanzi,200,90,90,3,0.29118239773210775,0.13727238981157935,1.7261788010292702,1.332980093092658,0.8869784731962587,2.9286850817418615,57.4116;54.4638;52.5160,56.8692;56.4250;58.1243
kanzi,300,30,30,1,0.7288540750833672,0.37863984301794584,4.904026880348862,1.4061757499721903,0.9318155131638178,5.657020839461424,57.4116,54.4671
