cell_id,perturb_axis,perturb_value,beta_base,restart_min_nfe,nfe_ref,seed,nfe,n_rounds,wall_s,n_records,output_path,log
baseline,none,-,0.5,20,50,42,100,3,5.55,30,/tmp/w186/fastas/lineageflow_baseline_seed42.fasta,/tmp/w186/logs/baseline.log
p_beta_03,beta,0.3,0.3,20,50,42,100,3,4.84,30,/tmp/w186/fastas/lineageflow_p_beta_03_seed42.fasta,/tmp/w186/logs/p_beta_03.log
p_beta_07,beta,0.7,0.7,20,50,42,100,3,5.10,30,/tmp/w186/fastas/lineageflow_p_beta_07_seed42.fasta,/tmp/w186/logs/p_beta_07.log
p_beta_09,beta,0.9,0.9,20,50,42,100,3,5.27,30,/tmp/w186/fastas/lineageflow_p_beta_09_seed42.fasta,/tmp/w186/logs/p_beta_09.log
p_rmin_05,restart_min_nfe,5,0.5,5,50,42,100,3,5.71,30,/tmp/w186/fastas/lineageflow_p_rmin_05_seed42.fasta,/tmp/w186/logs/p_rmin_05.log
p_rmin_10,restart_min_nfe,10,0.5,10,50,42,100,3,4.99,30,/tmp/w186/fastas/lineageflow_p_rmin_10_seed42.fasta,/tmp/w186/logs/p_rmin_10.log
p_rmin_40,restart_min_nfe,40,0.5,40,50,42,100,3,5.14,30,/tmp/w186/fastas/lineageflow_p_rmin_40_seed42.fasta,/tmp/w186/logs/p_rmin_40.log
p_rmin_80,restart_min_nfe,80,0.5,80,50,42,100,3,5.12,30,/tmp/w186/fastas/lineageflow_p_rmin_80_seed42.fasta,/tmp/w186/logs/p_rmin_80.log
p_nref_10,nfe_ref,10,0.5,20,10,42,100,3,5.34,30,/tmp/w186/fastas/lineageflow_p_nref_10_seed42.fasta,/tmp/w186/logs/p_nref_10.log
p_nref_25,nfe_ref,25,0.5,20,25,42,100,3,5.45,30,/tmp/w186/fastas/lineageflow_p_nref_25_seed42.fasta,/tmp/w186/logs/p_nref_25.log
p_nref_75,nfe_ref,75,0.5,20,75,42,100,3,5.11,30,/tmp/w186/fastas/lineageflow_p_nref_75_seed42.fasta,/tmp/w186/logs/p_nref_75.log
p_nref_100,nfe_ref,100,0.5,20,100,42,100,3,5.22,30,/tmp/w186/fastas/lineageflow_p_nref_100_seed42.fasta,/tmp/w186/logs/p_nref_100.log
p_nref_200,nfe_ref,200,0.5,20,200,42,100,3,5.27,30,/tmp/w186/fastas/lineageflow_p_nref_200_seed42.fasta,/tmp/w186/logs/p_nref_200.log
p_seed_43,seed,43,0.5,20,50,43,100,3,5.83,30,/tmp/w186/fastas/lineageflow_p_seed_43_seed43.fasta,/tmp/w186/logs/p_seed_43.log
p_seed_44,seed,44,0.5,20,50,44,100,3,5.42,30,/tmp/w186/fastas/lineageflow_p_seed_44_seed44.fasta,/tmp/w186/logs/p_seed_44.log
p_seed_45,seed,45,0.5,20,50,45,100,3,5.28,30,/tmp/w186/fastas/lineageflow_p_seed_45_seed45.fasta,/tmp/w186/logs/p_seed_45.log
p_seed_46,seed,46,0.5,20,50,46,100,3,5.38,30,/tmp/w186/fastas/lineageflow_p_seed_46_seed46.fasta,/tmp/w186/logs/p_seed_46.log
p_seed_47,seed,47,0.5,20,50,47,100,3,5.12,30,/tmp/w186/fastas/lineageflow_p_seed_47_seed47.fasta,/tmp/w186/logs/p_seed_47.log
