cell,parameter,value,pLDDT,scPerplexity,delta_plddt_vs_baseline,delta_scperp_vs_baseline
baseline,baseline,-,41.9908,14.9406,+0.0000,+0.0000
p_beta_03,beta_base,0.3,41.9908,14.9406,+0.0000,+0.0000
p_beta_07,beta_base,0.7,41.9908,14.9406,+0.0000,+0.0000
p_beta_09,beta_base,0.9,41.9908,14.9406,+0.0000,+0.0000
p_rmin_05,restart_min_nfe,5,41.9908,14.9406,+0.0000,+0.0000
p_rmin_10,restart_min_nfe,10,41.9908,14.9406,+0.0000,+0.0000
p_rmin_40,restart_min_nfe,40,41.9908,14.9406,+0.0000,+0.0000
p_rmin_80,restart_min_nfe,80,41.9908,14.9406,+0.0000,+0.0000
p_nref_10,nfe_ref,10,41.9908,14.9406,+0.0000,+0.0000
p_nref_25,nfe_ref,25,41.9908,14.9406,+0.0000,+0.0000
p_nref_75,nfe_ref,75,41.9908,14.9406,+0.0000,+0.0000
p_nref_100,nfe_ref,100,41.9908,14.9406,+0.0000,+0.0000
p_nref_200,nfe_ref,200,41.9908,14.9406,+0.0000,+0.0000
p_seed_43,seed,43,43.4045,13.5583,+1.4137,-1.3823
p_seed_44,seed,44,46.0898,13.2901,+4.0990,-1.6505
p_seed_45,seed,45,39.9826,13.1296,-2.0082,-1.8110
p_seed_46,seed,46,43.5208,13.4962,+1.5300,-1.4444
p_seed_47,seed,47,41.7586,12.7784,-0.2322,-2.1622
