seq_idx,baseline_rmsd_A,framework_rmsd_A,paired_diff_A
0,0.765858,1.047822,-0.281963
1,0.799123,0.808060,-0.008937
10,1.058942,0.979290,0.079652
100,0.825794,0.822223,0.003571
101,0.647591,0.961755,-0.314164
102,0.877171,1.021894,-0.144723
103,0.965176,0.946738,0.018438
104,0.821176,0.849733,-0.028557
105,0.627085,0.916702,-0.289618
106,0.801241,0.834634,-0.033393
107,0.723125,0.835719,-0.112594
108,0.887551,1.171060,-0.283509
109,0.621880,0.873381,-0.251500
11,1.152952,0.827326,0.325626
110,0.785527,0.918046,-0.132519
111,0.953004,0.787264,0.165739
112,0.768324,0.818612,-0.050287
113,0.757673,0.833044,-0.075371
114,0.982615,0.828957,0.153658
115,0.874888,1.118722,-0.243834
116,0.881710,0.852590,0.029120
117,0.810071,0.857706,-0.047635
118,0.666419,0.643598,0.022821
119,0.685924,1.181506,-0.495582
12,0.802090,1.056444,-0.254354
120,0.861304,1.002868,-0.141565
121,0.675276,0.854589,-0.179313
122,0.664413,0.743316,-0.078904
123,0.907072,1.123439,-0.216367
124,0.942981,0.850761,0.092220
125,0.777717,1.209476,-0.431760
126,0.591346,0.743871,-0.152525
127,0.863681,0.665338,0.198343
128,0.748480,0.876446,-0.127965
129,0.766426,1.009799,-0.243373
13,0.993992,1.029086,-0.035093
130,0.882044,1.147009,-0.264964
131,0.712315,0.836273,-0.123958
132,0.924220,1.166631,-0.242411
133,0.848202,0.733248,0.114954
134,0.835772,0.750490,0.085282
135,0.717870,0.916816,-0.198946
136,0.906409,1.213649,-0.307240
137,0.921805,0.826819,0.094985
138,0.781893,0.825821,-0.043928
139,0.713284,0.869646,-0.156362
14,0.766818,1.129900,-0.363082
140,0.756275,0.953076,-0.196800
141,0.915817,0.769673,0.146144
142,0.863907,1.059424,-0.195518
143,0.672304,0.903566,-0.231262
144,0.835854,0.744420,0.091434
145,0.786025,0.979000,-0.192975
146,0.799567,0.865942,-0.066376
147,0.785947,1.154647,-0.368700
148,0.842895,0.822408,0.020487
149,0.767519,0.895021,-0.127503
15,0.991193,0.834469,0.156724
150,0.886286,0.735574,0.150712
151,0.878789,0.850884,0.027905
152,0.762167,0.743056,0.019110
153,1.055691,1.030917,0.024773
154,0.641102,0.906749,-0.265647
155,0.980313,0.677928,0.302385
156,0.760259,0.858443,-0.098184
157,0.889671,0.882429,0.007241
158,1.166824,1.035597,0.131227
159,0.727917,0.835582,-0.107665
16,0.937124,0.821736,0.115388
160,0.623783,1.032612,-0.408829
161,0.726489,0.623221,0.103268
162,1.252939,0.700830,0.552109
163,0.920837,0.962286,-0.041449
164,0.984417,1.126336,-0.141919
165,0.734334,1.229118,-0.494784
166,0.887388,0.897216,-0.009828
167,0.867510,1.049082,-0.181572
168,0.722061,0.938562,-0.216501
169,0.631500,0.928693,-0.297193
17,0.718652,0.826934,-0.108282
170,0.779135,0.833403,-0.054268
171,0.869734,0.850886,0.018848
172,0.801342,0.622924,0.178418
173,0.902171,0.828109,0.074062
174,0.798630,0.996223,-0.197593
175,0.902232,0.749466,0.152767
176,0.854420,0.877071,-0.022652
177,1.009536,1.121585,-0.112049
178,0.870078,0.814635,0.055443
179,0.784960,0.764866,0.020094
18,0.762671,0.830319,-0.067648
180,0.869403,1.005102,-0.135698
181,0.763721,0.754491,0.009231
182,0.840249,0.732419,0.107831
183,0.681677,0.745575,-0.063898
184,0.703295,0.741871,-0.038575
185,0.758715,0.880705,-0.121990
186,0.884479,1.086395,-0.201916
187,0.725867,0.878671,-0.152804
188,0.865538,0.842915,0.022623
189,0.732395,0.988894,-0.256499
19,0.803504,0.733865,0.069639
190,0.774019,0.798143,-0.024124
191,0.863742,0.884935,-0.021193
192,0.724144,1.054345,-0.330201
193,0.689216,0.870123,-0.180907
194,0.916131,1.097449,-0.181318
195,0.727300,0.855644,-0.128344
