dataset,metric,tier,n_records,mean_baseline,mean_framework,mean_diff,sd_diff,t_statistic,df,cohens_d_z,p_value_raw,ci_95_low,ci_95_high,verdict,tier_boundary_low,tier_boundary_high,metric_direction
k6_foldability_w161,plddt_mean,hard,330,29.509229871119686,42.79647510886183,13.287245237742134,11.175754202508434,21.598076704300073,329,1.1889349923927075,4.824788011685385e-65,12.081443396099932,14.493047079384336,SUPPORTED,34.560125471956226,46.129279241102346,higher_is_better
k6_foldability_w161,sc_perplexity,hard,330,17.04941806600001,14.052633186771121,-2.99678487922889,2.900322389914765,-18.77008604071357,329,-1.0332592299564876,5.996146806129552e-54,-3.309713565360013,-2.683856193097767,REGRESSES,34.560125471956226,46.129279241102346,lower_is_better
k6_foldability_w161,plddt_mean,medium,340,40.345326847117214,42.93062252915718,2.585295682039977,11.852942501679001,4.021828077279304,339,0.2181142515180313,7.123102571186228e-05,1.3253762027801343,3.8452151612998193,SUPPORTED,34.560125471956226,46.129279241102346,higher_is_better
k6_foldability_w161,sc_perplexity,medium,340,17.948281265963494,13.967501174220038,-3.9807800917434553,3.49807581349314,-20.98352407856252,339,-1.1379913712528409,3.0454036947607346e-63,-4.352611293719119,-3.608948889767792,REGRESSES,34.560125471956226,46.129279241102346,lower_is_better
k6_foldability_w161,plddt_mean,easy,330,56.41520051825662,43.86775822037769,-12.54744229787892,12.569571965557943,-18.133919700823164,329,-0.998239425515868,1.9512849290126757e-51,-13.903629339047207,-11.191255256710633,REGRESSES,34.560125471956226,46.129279241102346,higher_is_better
k6_foldability_w161,sc_perplexity,easy,330,18.625261553552562,13.854820592345773,-4.770440961206789,4.19253702825808,-20.669910130382032,329,-1.1378411040984453,2.0170843648690516e-61,-5.222792433708933,-4.318089488704644,REGRESSES,34.560125471956226,46.129279241102346,lower_is_better
lineageflow_omegafold,plddt_mean,hard,2,36.80137158389656,36.80137158389656,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,TIE,43.798043373493975,51.81545119012636,higher_is_better
lineageflow_omegafold,sc_perplexity,hard,2,19.254188901042582,19.254188901042582,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,TIE,43.798043373493975,51.81545119012636,lower_is_better
lineageflow_omegafold,plddt_mean,easy,2,55.992743902439024,55.992743902439024,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,TIE,43.798043373493975,51.81545119012636,higher_is_better
lineageflow_omegafold,sc_perplexity,easy,2,12.702366169829585,12.702366169829585,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,TIE,43.798043373493975,51.81545119012636,lower_is_better
