adapter,metric,n_paired,paper_quantity_d_z,cosine_only_d_z,fixed_threshold_d_z,paper_vs_cosine_d_z,paper_vs_cosine_p,paper_vs_cosine_cluster_robust_p,paper_vs_cosine_bonferroni_significant,paper_vs_cosine_verdict,data_availability,nfe_per_pass,source
kanzi,endpoint_L2_paired_diff_paper_vs_cosine,30,,,,-30.1519165129249,1.1140421004213547e-44,,True,load_bearing_as_regulariser,full,1000,verification_outputs/wave190-p2-kanzi-n30.json
kanzi,per_position_entropy_reduction_paired_diff_paper_vs_cosine,30,,,,10.241067809944251,3.959006685318512e-31,,True,load_bearing_as_regulariser,full,1000,verification_outputs/wave190-p2-kanzi-n30.json
lineageflow,endpoint_L2_paired_diff_paper_vs_cosine,30,,,,0.09274778277118091,0.6152954104438505,,False,load_bearing_only_on_axis_entropy_reduction,full,100,verification_outputs/wave190-p3-lineageflow-n30.json
lineageflow,per_position_entropy_reduction_paired_diff_paper_vs_cosine,30,,,,0.6417816031723889,0.001464772450877854,,True,load_bearing_only_on_axis_entropy_reduction,full,100,verification_outputs/wave190-p3-lineageflow-n30.json
k6_foldability_w161,framework_vs_baseline_plddt_mean,1000,,,,,,0.55299975176992,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only,50,verification_outputs/wave198-p2-per-record-paired.csv + verification_outputs/wave203-p3-k6-cluster-robust.csv
k6_foldability_w161,framework_vs_baseline_sc_perplexity,1000,,,,,,0.00402098228231571,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only,50,verification_outputs/wave198-p2-per-record-paired.csv + verification_outputs/wave203-p3-k6-cluster-robust.csv
lineageflow_real_fastas_w158,framework_vs_baseline_sc_perplexity,574,,,,,,,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only,50,verification_outputs/wave202-p5-lineageflow-per-record.csv
flowmol3_wave87_byte_stable,framework_vs_baseline_qed,200,,,,,,,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only_DGL_blocked,50,verification_outputs/wave208-p2-flowmol3-sanity.csv
flowmol3_wave87_byte_stable,framework_vs_baseline_logp,200,,,,,,,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only_DGL_blocked,50,verification_outputs/wave208-p2-flowmol3-sanity.csv
flowmol3_wave87_byte_stable,framework_vs_baseline_n_atoms,200,,,,,,,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only_DGL_blocked,50,verification_outputs/wave208-p2-flowmol3-sanity.csv
flowmol3_wave87_byte_stable,framework_vs_baseline_n_rings,200,,,,,,,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only_DGL_blocked,50,verification_outputs/wave208-p2-flowmol3-sanity.csv
flowmol3_wave87_byte_stable,framework_vs_baseline_reos_fg_contrib_proxy,200,,,,,,,,NOT_RUN_paper_vs_cosine_ablation_absent,framework_vs_baseline_only_DGL_blocked,50,verification_outputs/wave208-p2-flowmol3-sanity.csv
