adapter_index,adapter_class,adapter_file,domain,solver_regime,separation_d,simplicity_c,rho,eta,e_rho,is_default,override_source,validate_f_side_pass,paper_reference,note
1,LineageFlowAdapter,adaptive_reflow/adapters/lineageflow.py,protein FM,ICML 2026 (657 M params, ESM-2 33-token),1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile: d=1.0, c=1.0, rho=0.1, eta=0.1 -> rho<d/4 (0.1<0.25), rho<=1/4, c>0, eta>0. validate_f_side passes. Adapter does not override."
2,KanziAdapter,adaptive_reflow/adapters/kanzi.py,protein flow-AE,ICLR 2026 (44.1 M params),1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. KanziAdapter does not override. Note: Kanzi is exercised in synthetic-mode (Kanzi_inv_proj) where the residual posterior is g(x)=sin(x)-shaped; the default profile is F-side-consistent for that g."
3,FlowMol3V2Adapter,adaptive_reflow/adapters/flowmol3_v2_adapter.py,molecular 3D FM,NeurIPS 2024 (65 M params, DGL graph kernels),1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. FlowMol3V2Adapter does not override. Note: FlowMol3 is exercised via Python 3.11 sidecar; the F-side constants are framework-side, not adapter-side."
4,RectifiedFlowCIFARAdapter,adaptive_reflow/adapters/rectified_flow_cifar.py,image RF,Open DDPM++ / RF UNet (32x32),1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. CIFAR-10 RF does not override. Boundary cell R5b at matched-NFE=50 is reported as a first-class boundary in paper section 3.6; the default profile does not affect the framework regression direction."
5,MnistFmAdapter,adaptive_reflow/adapters/mnist_fm.py,image FM,Open MNIST FM recipe,1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. MnistFmAdapter does not override."
6,TwoDimFMAdapter,adaptive_reflow/adapters/twodim_fm.py,2D synthetic FM,Two Moons / Eight Gaussians analytic targets,1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. TwoDimFMAdapter does not override. Note: per docs/theory/DEVIATIONS.md DEVIATION-004, the 2D velocity field is OOF-F-side-class for the 1D-sheet machinery; the default profile is for the framework's 1D g(x) abstraction."
7,FreqFlowAdapter,adaptive_reflow/adapters/freqflow.py,frequency-domain FM,synthetic-mode (Wave 109 P5 anchor),1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. FreqFlowAdapter does not override. Note: FreqFlow is exercised in synthetic-mode for paper section 4 K6 boundary characterisation."
8,Wan2.2Adapter,adaptive_reflow/adapters/wan2_2_upstream.py,video T2V FM,upstream shim,1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. Wan2.2 is exercised via upstream shim and is out-of-R-scope for paper section 3; the default profile documents the framework default."
9,HiDreamI1Adapter,adaptive_reflow/adapters/hidream_i1.py,image FM,upstream shim,1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. HiDream I1 is exercised via upstream shim; the default profile documents the framework default."
10,LuminaImage20Adapter,adaptive_reflow/adapters/lumina_image_2_0.py,image FM,upstream shim,1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. Lumina Image 2.0 is exercised via upstream shim; the default profile documents the framework default."
11,GraphBFNAdapter,adaptive_reflow/adapters/graphbfn.py,graph BFN,synthetic-mode,1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. GraphBFNAdapter does not override. Note: BFN (Bayesian Flow Network) is technically not Flow Matching; the F-side profile is for the continuous-only paper_quantities surface."
12,ProtBFNAbBFNAdapter,adaptive_reflow/adapters/protbfn_abbfn_adapter.py,protein ABFN,upstream shim,1.0,1.0,0.1,0.1,1e-4,TRUE,framework_default_(rate_bound._DEFAULT_FSIDE_*),TRUE,paper line 22-26,"Default F-side profile. ProtBFN-ABFNAdapter is exercised via upstream shim; the default profile documents the framework default."
