cell,baseline_arm,framework_arm,metric,nfe,higher_better,n_pairs,n_per_record,observed_d_z_per_seed,paired_diff_se,paired_diff_mean,per_seed_p_bonferroni,per_seed_power_observed,per_record_d_z_equivalent,per_record_power_at_n_300,per_record_n_for_80pct_power,per_record_p_bonferroni,per_record_verdict,per_seed_verdict,uplift_status,alpha_bonferroni,data_source
vanilla_pLDDT_NFE50,Vanilla,FlowA,pLDDT,50,True,30,300,0.0563313,1.47132,0.453961,1,0.059314,0.178135,0.542883,459,0.00222304,SUPPORTED,UNDERPOWERED,UPLIFTED,0.003125,"verification_outputs/wave196-trackb-vanilla-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
vanilla_pLDDT_NFE100,Vanilla,FlowA,pLDDT,100,True,30,300,0.052847,1.46888,0.425175,1,0.0581883,0.167117,0.467426,521,0.00407654,UNDERPOWERED,UNDERPOWERED,UNCHANGED,0.003125,"verification_outputs/wave196-trackb-vanilla-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
vanilla_scPerplexity_NFE50,Vanilla,FlowA,scPerplexity,50,False,30,300,-2.9316,0.240772,-3.86607,9.16138e-15,1,-9.27053,1,4,3.44051e-292,SUPPORTED,SUPPORTED,UNCHANGED,0.003125,"verification_outputs/wave196-trackb-vanilla-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
vanilla_scPerplexity_NFE100,Vanilla,FlowA,scPerplexity,100,False,30,300,-2.99446,0.235461,-3.86187,5.25307e-15,1,-9.46931,1,2,6.49353e-295,SUPPORTED,SUPPORTED,UNCHANGED,0.003125,"verification_outputs/wave196-trackb-vanilla-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
fastdllm_pLDDT_NFE50,FastDLLM,FlowA,pLDDT,50,True,30,300,-0.188539,0.918329,-0.948331,1,0.162084,-0.596212,1,45,1.39828e-21,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-fastdllm-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
fastdllm_pLDDT_NFE100,FastDLLM,FlowA,pLDDT,100,True,30,300,-0.226397,0.964411,-1.19589,1,0.214961,-0.715929,1,33,9.0184e-29,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-fastdllm-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
fastdllm_scPerplexity_NFE50,FastDLLM,FlowA,scPerplexity,50,False,30,300,0.0202257,0.239615,0.0265447,1,0.0511908,0.0639592,0.031793,3529,0.268836,UNDERPOWERED,UNDERPOWERED,UNCHANGED,0.003125,"verification_outputs/wave196-trackb-fastdllm-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
fastdllm_scPerplexity_NFE100,FastDLLM,FlowA,scPerplexity,100,False,30,300,0.0245259,0.221581,0.0297657,1,0.051752,0.0775576,0.0524526,2401,0.180181,UNDERPOWERED,UNDERPOWERED,UNCHANGED,0.003125,"verification_outputs/wave196-trackb-fastdllm-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
abcache_pLDDT_NFE50,AB-Cache,FlowA,pLDDT,50,True,30,300,-0.0782242,1.19885,-0.513652,1,0.0681128,-0.247367,0.902858,240,2.47194e-05,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-abcache-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
abcache_pLDDT_NFE100,AB-Cache,FlowA,pLDDT,100,True,30,300,-0.106195,1.26157,-0.733799,1,0.0838445,-0.335818,0.997589,133,1.54315e-08,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-abcache-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
abcache_scPerplexity_NFE50,AB-Cache,FlowA,scPerplexity,50,False,30,300,-0.194994,0.204012,-0.217889,1,0.170343,-0.616624,1,43,9.0603e-23,SUPPORTED,UNDERPOWERED,UPLIFTED,0.003125,"verification_outputs/wave196-trackb-abcache-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
abcache_scPerplexity_NFE100,AB-Cache,FlowA,scPerplexity,100,False,30,300,-0.0828993,0.202405,-0.0919037,1,0.070385,-0.262151,0.939692,215,8.1428e-06,SUPPORTED,UNDERPOWERED,UPLIFTED,0.003125,"verification_outputs/wave196-trackb-abcache-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
lediflow_pLDDT_NFE50,LeDiFlow,FlowA,pLDDT,50,True,30,300,-0.191464,1.11822,-1.17267,1,0.165788,-0.605463,1,44,4.06606e-22,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-lediflow-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
lediflow_pLDDT_NFE100,LeDiFlow,FlowA,pLDDT,100,True,29,300,-0.163341,1.10405,-0.971146,1,0.129526,-0.516531,1,59,3.93922e-17,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-lediflow-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=29)"
lediflow_scPerplexity_NFE50,LeDiFlow,FlowA,scPerplexity,50,False,30,300,0.191483,0.226624,0.237682,1,0.165812,0.605521,1,44,4.0344e-22,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-lediflow-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
lediflow_scPerplexity_NFE100,LeDiFlow,FlowA,scPerplexity,100,False,29,300,0.122421,0.25159,0.165863,1,0.0935783,0.38713,0.999893,101,1.00273e-10,REGRESSES,UNDERPOWERED,OTHER,0.003125,"verification_outputs/wave196-trackb-lediflow-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=29)"
