adapter_index,adapter_class,domain,solver_regime,d,c,rho,eta,A_g,exp_A_g,g_at_zero,f_side_pass,note
1,LineageFlowAdapter,protein FM,ICML 2026,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
2,KanziAdapter,protein flow-AE,ICLR 2026,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
3,FlowMol3V2Adapter,molecular 3D FM,NeurIPS 2024,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
4,RectifiedFlowCIFARAdapter,image RF,DDPM++ RF UNet,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
5,MnistFmAdapter,image FM,Open MNIST FM recipe,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
6,TwoDimFMAdapter,2D synthetic FM,Two Moons analytic,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
7,FreqFlowAdapter,frequency-domain FM,synthetic-mode,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
8,Wan2.2Adapter,video T2V FM,upstream shim,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
9,HiDreamI1Adapter,image FM,upstream shim,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
10,LuminaImage20Adapter,image FM,upstream shim,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
11,GraphBFNAdapter,graph BFN,synthetic-mode,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
12,ProtBFNAbBFNAdapter,protein ABFN,upstream shim,1.0,1.0,0.1,0.1,0.8549457422,2.3512468036,0.0000000000,TRUE,"Canonical F-side profile g(x)=(1+0.25*tanh(x))*sin(x) (Proposition 2 family). A_g computed via sheet_evidence_A(K=8, h=0.01). All 12 adapters share the framework default profile (docs/audit/wave211-p3-f-side-actual-values.md §2)."
