cell,per_record_data_available,n_records_per_arm,n_seeds,baseline_arm,framework_arm,metric,nfe,higher_better,observed_d_z_per_seed,per_record_d_z,per_record_p,per_record_alpha,verdict_per_record,reframing_source,data_source
vanilla_pLDDT_NFE50,FALSE,300,30,Vanilla,FlowA,pLDDT,50,True,0.0563313,0.178135,0.00222304,0.003125,SUPPORTED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-vanilla-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
vanilla_pLDDT_NFE100,FALSE,300,30,Vanilla,FlowA,pLDDT,100,True,0.052847,0.167117,0.00407654,0.003125,UNDERPOWERED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-vanilla-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
vanilla_scPerplexity_NFE50,FALSE,300,30,Vanilla,FlowA,scPerplexity,50,False,-2.9316,-9.27053,3.44051e-292,0.003125,SUPPORTED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-vanilla-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
vanilla_scPerplexity_NFE100,FALSE,300,30,Vanilla,FlowA,scPerplexity,100,False,-2.99446,-9.46931,6.49353e-295,0.003125,SUPPORTED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-vanilla-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
fastdllm_pLDDT_NFE50,FALSE,300,30,FastDLLM,FlowA,pLDDT,50,True,-0.188539,-0.596212,1.39828e-21,0.003125,REGRESSES,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-fastdllm-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
fastdllm_pLDDT_NFE100,FALSE,300,30,FastDLLM,FlowA,pLDDT,100,True,-0.226397,-0.715929,9.0184e-29,0.003125,REGRESSES,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-fastdllm-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
fastdllm_scPerplexity_NFE50,FALSE,300,30,FastDLLM,FlowA,scPerplexity,50,False,0.0202257,0.0639592,0.268836,0.003125,UNDERPOWERED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-fastdllm-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
fastdllm_scPerplexity_NFE100,FALSE,300,30,FastDLLM,FlowA,scPerplexity,100,False,0.0245259,0.0775576,0.180181,0.003125,UNDERPOWERED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-fastdllm-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
abcache_pLDDT_NFE50,FALSE,300,30,AB-Cache,FlowA,pLDDT,50,True,-0.0782242,-0.247367,2.47194e-05,0.003125,REGRESSES,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-abcache-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
abcache_pLDDT_NFE100,FALSE,300,30,AB-Cache,FlowA,pLDDT,100,True,-0.106195,-0.335818,1.54315e-08,0.003125,REGRESSES,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-abcache-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
abcache_scPerplexity_NFE50,FALSE,300,30,AB-Cache,FlowA,scPerplexity,50,False,-0.194994,-0.616624,9.0603e-23,0.003125,SUPPORTED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-abcache-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
abcache_scPerplexity_NFE100,FALSE,300,30,AB-Cache,FlowA,scPerplexity,100,False,-0.0828993,-0.262151,8.1428e-06,0.003125,SUPPORTED,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-abcache-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=30)"
lediflow_pLDDT_NFE50,FALSE,300,30,LeDiFlow,FlowA,pLDDT,50,True,-0.191464,-0.605463,4.06606e-22,0.003125,REGRESSES,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-lediflow-nfe50-n30.csv + verification_outputs/wave196-trackb-flowa-nfe50-n30.csv (paired, n=30)"
lediflow_pLDDT_NFE100,FALSE,300,29,LeDiFlow,FlowA,pLDDT,100,True,-0.163341,-0.516531,3.93922e-17,0.003125,REGRESSES,Wave216P3 sqrt-scaling (per-seed d_z * sqrt(10)),"verification_outputs/wave196-trackb-lediflow-nfe100-n30.csv + verification_outputs/wave196-trackb-flowa-nfe100-n30.csv (paired, n=29)"
