wave,cell,scheduler,seed,n_samples,w2,source_csv
233 P4,R5a_two_moons,baseline,0,1000,0.078995,wave209_p6_r5a/two_moons_baseline_seed0.csv
233 P4,R5a_two_moons,CosineAnnealScheduler,0,1000,0.074679,wave209_p6_r5a/two_moons_CosineAnnealScheduler_seed0.csv
233 P4,R5a_two_moons,CodimensionSheetScheduler,0,1000,0.082093,wave209_p6_r5a/two_moons_CodimensionSheetScheduler_seed0.csv
233 P4,R5a_two_moons,EvidenceDrivenScheduler,0,1000,0.079717,wave209_p6_r5a/two_moons_EvidenceDrivenScheduler_seed0.csv
233 P4,R5a_two_moons,baseline,1,1000,0.066503,wave209_p6_r5a/two_moons_baseline_seed1.csv
233 P4,R5a_two_moons,CosineAnnealScheduler,1,1000,0.071267,wave209_p6_r5a/two_moons_CosineAnnealScheduler_seed1.csv
233 P4,R5a_two_moons,CodimensionSheetScheduler,1,1000,0.074331,wave209_p6_r5a/two_moons_CodimensionSheetScheduler_seed1.csv
233 P4,R5a_two_moons,baseline,2,1000,0.067280,wave209_p6_r5a/two_moons_baseline_seed2.csv
233 P4,R5a_two_moons,CosineAnnealScheduler,2,1000,0.073442,wave209_p6_r5a/two_moons_CosineAnnealScheduler_seed2.csv
233 P4,R5a_two_moons,CodimensionSheetScheduler,2,1000,0.072598,wave209_p6_r5a/two_moons_CodimensionSheetScheduler_seed2.csv
233 P4,R5a_two_moons,baseline,3,1000,0.067920,wave209_p6_r5a/two_moons_baseline_seed3.csv
233 P4,R5a_two_moons,CosineAnnealScheduler,3,1000,0.077280,wave209_p6_r5a/two_moons_CosineAnnealScheduler_seed3.csv
233 P4,R5a_two_moons,CodimensionSheetScheduler,3,1000,0.073318,wave209_p6_r5a/two_moons_CodimensionSheetScheduler_seed3.csv
233 P4,R5a_two_moons,baseline,4,1000,0.081613,wave209_p6_r5a/two_moons_baseline_seed4.csv
233 P4,R5a_two_moons,CosineAnnealScheduler,4,1000,0.082968,wave209_p6_r5a/two_moons_CosineAnnealScheduler_seed4.csv
