easy_factor,hard_intensity,n_paired,mean_diff,sd_diff,d_z,p_value,bonf_sig,verdict,effect_band,direction,delta_d_z_vs_wave233,per_tier_d_z_hard,per_tier_d_z_medium,per_tier_d_z_easy
0.0,1.0,1000,0.035169448434575146,0.1640902348196039,0.2143299293418614,2.0841363247343796e-11,1,REGRESSES,MEDIUM,POSITIVE,0.16779746115863203,0.8378052306497489,-0.12250347200003155,3.2896828229825557e-17
0.0,1.25,1000,0.04544115388938116,0.17022672355496407,0.2669448893828282,1.0905197502204148e-16,1,REGRESSES,MEDIUM,POSITIVE,0.2204124211995988,1.0472565383121863,-0.12250347200003155,3.2896828229825557e-17
0.0,1.5,1000,0.05571285934418714,0.1773626924365734,0.31411825440184155,3.077154912666415e-22,1,REGRESSES,MEDIUM,POSITIVE,0.2675857862186122,1.2567078459746233,-0.12250347200003155,3.2896828229825557e-17
0.0,2.0,1000,0.07625627025379914,0.19417740394159191,0.39271443899176256,4.93316815247729e-33,1,REGRESSES,MEDIUM,POSITIVE,0.3461819708085332,1.6756104612994975,-0.12250347200003155,3.2896828229825557e-17
0.25,1.0,1000,0.02163600874192764,0.16807949188745275,0.1287248580952117,5.058774258201414e-05,1,REGRESSES,SMALL,POSITIVE,0.08219238991198233,0.8378052306497489,-0.12250347200003155,-0.25062939554309543
0.25,1.25,1000,0.03190771419673364,0.1748729514710327,0.18246226147797978,1.057046268994415e-08,1,REGRESSES,SMALL,POSITIVE,0.1359297932947504,1.0472565383121863,-0.12250347200003155,-0.25062939554309543
0.25,1.5,1000,0.04217941965153963,0.18259035496494053,0.2310057377326342,5.660561072474249e-13,1,REGRESSES,MEDIUM,POSITIVE,0.18447326954940482,1.2567078459746233,-0.12250347200003155,-0.25062939554309543
0.25,2.0,1000,0.06272283056115162,0.20035762997013493,0.31305436469028414,4.1818452570683055e-22,1,REGRESSES,MEDIUM,POSITIVE,0.26652189650705477,1.6756104612994975,-0.12250347200003155,-0.25062939554309543
0.5,1.0,1000,0.008102569049280127,0.17412721408576282,0.04653246818322937,0.14147469685937353,0,TIE,NEGLIGIBLE,POSITIVE,0.0,0.8378052306497489,-0.12250347200003155,-0.5012587910861909
0.5,1.25,1000,0.018374274504086133,0.18146190113149208,0.10125692715393547,0.0014077550375944494,1,REGRESSES,SMALL,POSITIVE,0.0547244589707061,1.0472565383121863,-0.12250347200003155,-0.5012587910861909
0.5,1.5,1000,0.028645979958892117,0.18964548886337548,0.151050152210735,2.0493293834259106e-06,1,REGRESSES,SMALL,POSITIVE,0.10451768402750564,1.2567078459746233,-0.12250347200003155,-0.5012587910861909
0.5,2.0,1000,0.04918939086850412,0.20814887997569456,0.23631830675355037,1.7086733509961767e-13,1,REGRESSES,MEDIUM,POSITIVE,0.189785838570321,1.6756104612994975,-0.12250347200003155,-0.5012587910861909
0.75,1.0,1000,-0.005430870643367378,0.18202834515406413,-0.029835301962289597,0.34566606088357904,0,TIE,NEGLIGIBLE,NEGATIVE,-0.07636777014551896,0.8378052306497489,-0.12250347200003155,-0.7518881866292864
0.75,1.25,1000,0.004840834811438626,0.1897913449829941,0.025506088340711112,0.42010431096371736,0,TIE,NEGLIGIBLE,POSITIVE,-0.021026379842518258,1.0472565383121863,-0.12250347200003155,-0.7518881866292864
0.75,1.5,1000,0.015112540266244614,0.19833316875492008,0.07619774524411069,0.016150686821250898,1,REGRESSES,SMALL,POSITIVE,0.029665277060881318,1.2567078459746233,-0.12250347200003155,-0.7518881866292864
0.75,2.0,1000,0.03565595117585661,0.21737799623042792,0.16402741673108495,2.5869752168462826e-07,1,REGRESSES,SMALL,POSITIVE,0.11749494854785558,1.6756104612994975,-0.12250347200003155,-0.7518881866292864
1.0,1.0,1000,-0.01896431033601489,0.1915536761743778,-0.09900259141333856,0.0017943338542103756,1,SUPPORTED,SMALL,NEGATIVE,-0.14553505959656793,0.8378052306497489,-0.12250347200003155,-1.002517582172382
1.0,1.25,1000,-0.008692604881208892,0.19964355326627908,-0.04354062397203948,0.1688592295381275,0,TIE,NEGLIGIBLE,NEGATIVE,-0.09007309215526885,1.0472565383121863,-0.12250347200003155,-1.002517582172382
1.0,1.5,1000,0.0015791005735970938,0.2084493724448212,0.00757546331311263,0.8107227010223175,0,TIE,NEGLIGIBLE,POSITIVE,-0.03895700487011674,1.2567078459746233,-0.12250347200003155,-1.002517582172382
1.0,2.0,1000,0.02212251148320909,0.22787033794969677,0.09708377001702045,0.002197987540295562,1,REGRESSES,SMALL,POSITIVE,0.050551301833791085,1.6756104612994975,-0.12250347200003155,-1.002517582172382
