seed,arm,idx,smiles,reos_flag
43,baseline,0,[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,1,[H]C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,2,[H]C1=C([H])C([H])=C2C(=C1[H])N=C(C([H])([H])[H])N2C(=O)C([H])([H])[H],0
43,baseline,3,[H]C1=C([H])C([H])=C(C2=NN(N([H])C(=O)C([H])([H])C([H])([H])[H])C(N([H])[H])=N2)C([H])=C1[H],0
43,baseline,4,[H]C([H])([H])C([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],0
43,baseline,5,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[N+]12[H],0
43,baseline,6,[H]C([H])([H])OC(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,7,[H]C1=C(C(=O)OC([H])([H])[H])SC(SC([H])([H])C(=O)[O-])=N1,0
43,baseline,8,[H]C([H])([H])OC([H])([H])C([H])([H])[H],0
43,baseline,9,[H]C1=C([H])N([H])C(C([H])([H])C(=O)OC([H])([H])[H])=C1[H],0
43,baseline,10,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,11,[H]C1=C([H])C([H])=C(N(C([H])([H])[H])C([H])([H])[H])C(OC([H])([H])[H])=C1[H],0
43,baseline,12,[H]OC(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],0
43,baseline,13,[H]C1=C([H])C(C([H])([H])C([H])([H])[H])=C([H])C([H])=C1N([H])[H],0
43,baseline,14,[H]C1=C(C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])C(=O)N([H])C(N([H])[H])=N1,0
43,baseline,15,[H]C1=C(OC([H])([H])[H])C2=C(OC([H])([H])C([H])([H])O2)C([H])=C1C(=O)C([H])([H])[H],0
43,baseline,16,[H]C1=C([H])C([H])=C(C([H])([H])S(=O)(=O)N([H])C([H])([H])C([H])([H])[H])C(Cl)=C1[H],0
43,baseline,17,[H]N1C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H],0
43,baseline,18,[H]N1C(=O)N([H])C2=C1C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])[H],0
43,baseline,19,[H]N1N=C(C([H])([H])[H])N=C1C([H])([H])N([H])[H],0
43,baseline,20,[H]C1=C([H])C([H])=C([H])C(N([H])C([H])([H])C([H])([H])C2=C([H])C([H])([H])OC([H])([H])C2([H])[H])=N1,0
43,baseline,21,[H]N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,22,[H]C([H])=C([H])C([H])([H])OC1=C([H])C([H])=C(Cl)C([H])=C1[H],0
43,baseline,23,[H]N([H])N([H])C(=S)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,24,[H]C1=C([H])C(N([H])C(=O)C([H])([H])OC([H])([H])[H])=C([H])C([H])=C1Br,0
43,baseline,25,[H]C1=NC(Cl)=NN1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
43,baseline,26,[H]C1=NC([H])=C([H])C(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])=C1[H],0
43,baseline,27,[H]C([H])=C([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])=C([H])[H],0
43,baseline,28,[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C(=S)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
43,baseline,29,[H]C([H])(Cl)C1(Cl)SS1,0
43,baseline,30,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])OC([H])([H])C([H])([H])C1([H])[H],0
43,baseline,31,[H]C([H])([H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H],0
43,baseline,32,[H]N([H])N([H])C(=O)OC([H])([H])[H],0
43,baseline,33,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])C([H])([H])[H],0
43,baseline,34,[H]C1=C([H])C(C([H])([H])[H])=C([H])C([H])=C1N([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
